Key,File,Type,UsedInMainMenu,NoTranslate,english

perkRangedCrippleName,progression,perk Per,,,"Arrow to the Knee"
perkRangedCrippleDesc,progression,perk Per,,,"Specialize in slowing down enemies with any ranged attack to the legs"

perkRangedCrippleRank1Desc,progression,perk Per,,,"Pulled Hamstring"
perkRangedCrippleRank1LongDesc,progression,perk Per,,,"20% chance to cripple with a ranged attack to the legs"
perkRangedCrippleRank2Desc,progression,perk Per,,,"Charlie Horse"
perkRangedCrippleRank2LongDesc,progression,perk Per,,,"40% chance to cripple with a ranged attack to the legs"
perkRangedCrippleRank3Desc,progression,perk Per,,,"Hole in the Foot"
perkRangedCrippleRank3LongDesc,progression,perk Per,,,"60% chance to cripple with a ranged attack to the legs"
perkRangedCrippleRank4Desc,progression,perk Per,,,"Kneecapped"
perkRangedCrippleRank4LongDesc,progression,perk Per,,,"80% chance to cripple with a ranged attack to the legs"
perkRangedCrippleRank5Desc,progression,perk Per,,,"Achilles Tendon"
perkRangedCrippleRank5LongDesc,progression,perk Per,,,"100% chance to cripple with a ranged attack to the legs"


perkGunHeadshotDismemberName,progression,perk Per,,,"Boom Headshot"
perkGunHeadshotDismemberDesc,progression,perk Per,,,"Headshots do 20% increased damage per level"

perkGunHeadshotDismemberRank1Desc,progression,perk Per,,,"Kiss of the lips"
perkGunHeadshotDismemberRank1LongDesc,progression,perk Per,,,"Increase headshot damage by 20%"
perkGunHeadshotDismemberRank2Desc,progression,perk Per,,,"Forehead Tap"
perkGunHeadshotDismemberRank2LongDesc,progression,perk Per,,,"Increase headshot damage by 40%"
perkGunHeadshotDismemberRank3Desc,progression,perk Per,,,"Between the Eyes"
perkGunHeadshotDismemberRank3LongDesc,progression,perk Per,,,"Increase headshot damage by 60%"
perkGunHeadshotDismemberRank4Desc,progression,perk Per,,,"On the Nose"
perkGunHeadshotDismemberRank4LongDesc,progression,perk Per,,,"Increase headshot damage by 80%"
perkGunHeadshotDismemberRank5Desc,progression,perk Per,,,"Crowned"
perkGunHeadshotDismemberRank5LongDesc,progression,perk Per,,,"Increase headshot damage by 100%"

